,skills,company_name,job_title,job_type,job_seniority,job_category,job_min_salary,job_max_salary,job_sal_type,job_description_p,job_description_li,job_requirement_p,job_requirement_li
0,"['analytics', 'data analysis', 'analysis', 'statistical modeling', 'web analytics', 'predictive analytics', 'predictive modeling', 'data mining', 'strategy', 'segmentation', 'sas', 'customer insight', 'online advertising', 'business analytics', 'digital marketing', 'e-commerce', 'google analytics', 'omniture', 'business intelligence', 'digital strategy']",traveloka services pte. ltd.,data analytics lead,permanent,manager,information technology,"$8,300","$15,000",monthly,"['you will be responsible for defining, collecting, processing, analyzing data across divisions and work with teams for driving the company, its products, and its operation forward through data. you will also be managing a team (or teams) of data analyst, growing and empowering them to accomplish great things, and ensuring that best practices, standards, and processes are adhered to.\xa0', ""you will roughly spend 60-80% time in hand-on data modeling, and 20-40% time in people management and coaching depending on team size. you will need to acquire contextual breadth and depth in your domain and manage stakeholders' expectations.\xa0"", 'working in traveloka:']","['you will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background.\xa0', 'we work in open environment where there are no boundaries or power distance.\xa0', 'everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.\xa0', 'get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into southeast asia and exploration of new products.\xa0\n \t\xa0']",['we are looking for someone with:'],"['passion in data analysis, mathematics, statistics, modeling, or pattern recognition', 'strong business acumen, able to translate data to business insights', 'knowledge in data structures and algorithms for processing large data', '8+ years of experience in data modeling', 'at least 3-5 years of technical leadership experience is preferred', 'strong analytical, mathematical, and communication skills', 'critical thinking and strong attention to details', ""bachelor's degree in technical major is preferred\n \t\xa0""]"
1,"['management', 'leadership', 'strategy', 'strategic planning', 'business development', 'business strategy', 'risk management', 'start-ups', 'banking', 'new business development', 'marketing', 'portfolio management', 'program management', 'sales', 'marketing strategy', 'mergers & acquisitions', 'team building', 'investments', 'strategic partnerships', 'product management']",dbs bank ltd.,"svp, infrastructure lead, group consumer banking and big data analytics technology, t&o (180004mi)",full time,senior management,information technology,"$12,000","$21,600",monthly,"['business function', '\xa0', '\xa0', ""group technology and operations (t&o) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. in group t&o, we manage the majority of the bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels."", '\xa0', 'job purpose\xa0', '\xa0', 'dbs corebanking team is seeking a highly motivated, seasoned manager of infrastructure to transform and build out our corebanking’s existing infrastructure into cloud platform infrastructure.\xa0 this person will lead devops engineers as they design and deploy automation and configuration management tools needed to provide a secured, scalable, reliable and fast platform for both our infrastructure and application services.', '\xa0', '\xa0', 'the successful candidate will have extensive experience managing infrastructure for secured, global, large scale, highly available services.\xa0 technical and organizational vision, combined with flawless execution is critical to this role.\xa0 the role also requires strong partnership with engineering/development teams, production support, technical services support and vendors.', 'responsibilities\xa0', '\xa0']","['as part of the corebanking leadership team, drive the platform transformation to private/public cloud', 'manage a team of infrastructure engineers to ensure the stability and high availability of infrastructure services for corebanking applications', 'build and foster a high performance culture, mentor team members and provide team with the tools and guidance to transform current infrastructure platform\xa0', 'design, build and deliver a stable and highly scalable infrastructure based on latest technologies and best practice\xa0', 'enhance performance throughout the infrastructure using automation framework and implement tooling to optimize performance, availability and costs', 'plan, lead and drive projects through entire lifecycle for infrastructure', 'create deployment strategies for existing and new services based on business objectives', 'foster collaborative partnerships across functional teams including remote teams']",[None],"['bachelor’s degree in computer science or related field, or equivalent work experience', 'at least 10+ years of experience in web/cloud operations, administration and/or engineering with organizational leadership of large scale, global services', 'more than 15+ years of infrastructure engineering management experience', 'hands-on experience scaling and managing cloud-based infrastructure will be\xa0 added advantage', 'solid foundation in software engineering best practices', 'experience with scrum and agile development processes and methodologies', 'well versed in tooling automation and ci/cd pipelines', 'solid understanding of highly available, performant and secured service delivery', 'thorough understanding of networking concepts, internet protocols and network security\xa0', 'hands-on experience with modern container orchestration systems', 'clear communicator with a positive attitude', 'team worker with good interpersonal skills, to facilitate working within the department, across the broader t&o department and with business partners and vendors.']"
2,"['business analysis', 'project management', 'management', 'requirements analysis', 'analysis', 'process improvement', 'requirements gathering', 'sdlc', 'strategy', 'business process', 'business strategy', 'leadership', 'business process improvement', 'sql', 'business intelligence', 'data analysis', 'change management', 'microsoft office', 'management consulting', 'program management']",accountant-general's department,head (data architect),full time,,"accounting / auditing / taxation, public / civil service",,,,"['head (data architect)', 'to architect, design and administer the whole-of-government (wog) enterprise data analytics platform (fi@gov) for the public sector finance and internal audit community.', 'the key objective of the agd-business analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. this includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.', 'the key roles fulfilled by this job include to:', '\xa0', '\xa0', 'requirement', 'if you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement.\xa0']","['administer the development and maintenance of the public sector finance data warehouse and data architecture. this includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.', 'drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.', 'manage large scale development and deployment of big data infrastructure and platform;', 'review and govern design principles to ensure quality and performant design of dashboards and tools on the business intelligence platform powered by microstrategy.', 'plan and implement the data strategy and technology roadmap for the wog finance analytics platform. this includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.', 'manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.', 'manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.', 'ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.', 'good degree from a recognised university in computer science, computer engineering, information technology, or a related field.', 'at least 10 years of experience on enterprise data solutions and architecture', 'competency in microstrategy architecture is strongly preferred', 'a good understanding of big data technologies, with at least 3 years of experience in hadoop ecosystem', 'ability to independently architect and maintain a hybrid data platform, integrating hadoop with sql data warehouse', 'a good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. r, python) is advantageous', 'experience in vendor management and project management is preferred', 'team player who can work well with stakeholders from different public agencies', 'self-motivated to learn and keeps up to date with the latest analytical technologies in the industry', 'confident communicator, with good writing and presentation skills']",[],[]
3,"['sql', 'java', 'unix', 'c', 'javascript', 'c++', 'c#', 'xml', 'html', 'mysql', 'jsp', 'oracle', 'software development', 'project management', 'unix shell scripting', 'eclipse', 'microsoft sql server', 'python', 'linux', 'perl']",robert walters (singapore) pte ltd,data analyst - data transformation imo,"temporary, contract",executive,information technology,"$6,000","$7,400",monthly,"['a new data analyst - data transformation imo job based in singapore has just become available at a reputable global bank.', 'about the data analyst - data transformation imo role:', 'you will be responsible for global banking (gb) and commercial banking (cb) analytics, which will include data sourcing, data transformation, predictive modelling, and creating tableau dashboards.', 'key responsibilities:']","['create strong blending data capabilities within team to enable organisation to come up with useful client information from data very quickly', 'engage with business stakeholders cross countries and gather requirements and liaise with etl team to get the required data preparation', 'promote analytics-driven decision-making processes across multiple segments/product portfolios', 'engage and execute the dashboards on tableau or similar visualisation tools', 'explore statistical and automation tools such as r, sas, python for predictive and prescriptive analytics', 'engage relevant technology teams to embed advanced statistical tools', 'prepare and/or contribute to regular updates for various committees and governance forums', 'provide insights to senior management and the network based on mis and analytics', 'highlight any perceived risks and early alerts to the management based on data analytics', 'perform data validation and dashboard performance optimisation']","['to succeed in this data analyst - data transformation imo role, you should have prior experience in analytics and strong knowledge of visualisation tools.', 'key requirements:', 'this is a reputable global bank that needs no introduction.', 'if you are driven and seek to advance your career in data analytics with an industry-leading financial institution, this data analyst - data transformation imo role will be a good fit for you.', 'apply for this opportunity today.', '\xa0', 'robert walters (singapore) pte ltd', 'roc no.: 199706961e | ea licence no.: 03c5451', 'ea registration no.: r1879144 aaron wong']","[""a proven track record with at least four years' relevant analytics work experience and demonstrated career progression/increase in responsibilities"", 'strong academic record: degree in finance, statistics, computer science or related field', 'knowledge of r, sas or python', 'strong knowledge of tableau or similar visualisation tools', 'proficient in excel and sql', 'knowledge of statistical modelling and machine learning will be an added plus', 'understanding of the etl process', 'highly effective verbal and written english communication skills', 'good presentation, time management, negotiation and influencing skills', 'ability to influence without authority', 'experience in project management from business requirement definition, solution validation, user testing, technical documentation and production roll-out', 'ability to manage multiple work streams with strong problem-solving and analytical skills', 'strong presentation skills to varying levels of management']"
4,"['data management', 'management', 'databases', 'microsoft office', 'project management', 'analysis', 'data analysis', 'clinical data management', 'sql', 'clinical trials', 'research', 'edc', 'leadership', 'program management', 'gcp', 'oracle clinical', 'information management', 'microsoft sql server', 'business analysis', 'earth science']",aia singapore private limited,"data manager, data management",full time,senior management,information technology,"$6,000","$12,000",monthly,[None],"['drive the overall data strategy across aia including, but not limited to: usage of data for analytics/bi, single customer view, master data management, big data, data warehouse, and cloud.', 'work collaboratively with your data, analytics and bi colleagues to deliver on your objectives and openly share knowledge amongst the organisation.', 'build and maintain strong effective relationships with key internal and external stakeholders to ensure that your data platform solutions meet the expectation of key business stakeholders.', 'assess and understand the business requirements through liaison with the business stakeholders, business analysts and the project managers.', 'support the enterprise data and analytics coe in terms data acquisition and structuring data fit for use on analytics projects.', 'pursue personal development of skills and knowledge for the effective performance of the role.', 'other tasks or responsibilities assigned from time to time by management.', 'timeliness of completion of deliverables', 'effective stakeholder management', 'achieve planned benefits realization', 'effective problem solving through self or with teams']",[None],"['bachelor degree and above in analytics, information systems management, computer science or related fields.', '7+ years of experience in data warehouse, data analytics projects, change management process, and/or any im (information management) related projects.', 'technical experience in data migration, data integration, data modeling, designing, building etls, data ingestions, and/or transformations.', 'experience in working with rdbms such as db2, oracle, microsoft sql server, postgressql, teradata, etc.', 'experience in data management and integration tool such as informatica data integrator, oracle data integrator, sap data services, ab initio, ibm datastage or microsoft ssis.', 'process good knowledge and experience in data quality definition, data cleansing and data treatment/profiling process using industry standard tools like informatica data quality, trillium software, sas data quality, sap data quality management, etc. is an advantage.', 'good knowledge of data warehouse and data management implementation methodology.', 'good knowledge of the information management framework, including operating model, data governance, data management, data security, data quality and data architecture.', 'preferably with experience in big data environments like cloudera and hortonworks.', 'knowledge or experience of cloud computing is advantageous.', 'process good knowledge and experience in data visualisation concepts using tools such as sas visual analytics or wrs, tableau, microsoft powerbi or reporting services, ibm cognos, sap businessobjects, etc. is an advantage.', 'ability to pick up new tools and able to be independent with minimal guidance from the project leads/managers.']"
5,"['leadership', 'military', 'military operations', 'management', 'command', 'security clearance', 'national security', 'dod', 'operational planning', 'program management', 'military experience', 'strategic planning', 'government', 'defense', 'army', 'force protection', 'training', 'top secret', 'organizational leadership', 'intelligence']",ministry of manpower,"senior assistant director, survey design and analytics (manpower research and statistics department) - contract",full time,manager,public / civil service,,,,"['role purpose', 'to design, plan, co-ordinate and manage large scale national surveys, including the development of data definitions, design of questionnaires, sample designs for households and establishment survey. to provide advisory on the data and statistical techniques that are suitable for the purpose of research as well as spotting erroneous interpretation or weakness in data analysis, and to study on different operation aspects to identify opportunities for improvements and productivity gains.', 'responsibilities', 'being part of a well-established manpower statistical agency, you will lead design, plan and manage large-scale national surveys. you will develop definitions for data items, train and guide staff on statistical coding and classification. through awareness of best practices supplemented by qualitative research, you will enhance operational and technological processes to keep pace with today’s fast-changing environment. in addition, the candidate is required to lead technology initiatives which aim to enhance survey processes and respondent’s experience. you will lead a team to chart and drive the data analytics strategy and build relevant models to conduct meaningful analysis. lastly, you are required to drive collection of new data and refinement of existing data sources, including steps to enhance quality of information recorded.', 'requirements']","['tertiary qualification in any discipline', 'preferably 8 – 10 years of relevant experience in research and operations', 'preferably 5 years of relevant experience in understanding key concepts, techniques and considerations in machine learning and data analytics', 'excellent communication and interpersonal skills', 'strong analytical and critical-thinking skills', 'strong business acumen', 'proficient in statistical programming tools such as r, sas, and database querying language such as sql', 'experience in leading a team and ability to work under pressure and tight timelines']",[],[]
6,"['research', 'science', 'matlab', 'latex', 'algorithms', 'statistics', 'machine learning', 'teaching', 'data analysis', 'molecular biology', 'computer science', 'mathematical modeling', 'simulations', 'qualitative research', 'biochemistry', 'c++', 'data mining', 'programming', 'artificial intelligence', 'lifesciences']",national university of singapore,research fellow (biochemistry),"contract, full time",professional,sciences / laboratory / r&d,"$4,000","$6,000",monthly,"['the national university of singapore invites applications for a postdoctoral fellow in the data analytics core, anchored at the department of biochemistry, a member of the medical sciences cluster at the yong loo lin school of medicine. the medical sciences cluster comprises the departments of anatomy, biochemistry, microbiology & immunology, pharmacology, and physiology. the cluster conducts multidisciplinary research in biomedical sciences, focusing initially on 7 core areas: (1) neuroscience; (2) metabolic & cardiovascular diseases; (3) cancer; (4) immunobiology; (5) infectious disease and host-microbe interactions (6) drug discovery and optimisation; and (7) synthetic biology.', 'purpose of the post ', 'the postdoctoral fellow will be responsible to, and work closely with the principal investigator and team members to plan for and drive the establishment of the medical sciences data analytics core facility to support the multidisciplinary data analytic needs of investigator-led projects within the cluster', 'main duties and responsibilities \xa0', 'the postdoctoral fellow will be expected to:']","['lead in the development and implementation of computational pipelines for the analysis of next-generation sequencing data (e.g. microbiomes, genomes, epigenomes, transcriptomes) as well as proteomic/metabolomics data.', 'lead in the development and implementation of statistical and machine learning tools for analysis of high dimensional datasets.', 'lead in the development and implementation of computational tools and databases to integrate biological and clinical datasets for functional analysis.', 'establish a data governance and project management workflow to manage the data and analysis needs of different investigators.', 'work with the core facility team to provide bioinformatics support and resources for the cluster.']","['qualifications \xa0', 'the applicant should have the following qualifications and attributes:\xa0', 'formal application: please submit your application, supported by a detailed cv (including personal particulars, academic and employment history, complete list of publications/oral presentations and full contacts of 3 referees) to:', 'dr. kenneth ban', 'dept. of biochemistry', 'medical sciences cluster', 'yong loo lin school of medicine', 'national university of singapore', 'e-mail: bchbhkk@nus.edu.sg', '\xa0', 'only shortlisted candidates will be notified for interviews.', 'a successful candidate will be offered an appointment contract of up to 3 years and the remuneration will be commensurate with the candidate’s qualifications and experience.']","['ph.d. in bioinformatics, computational biology, computer science or related fields', 'excellent understanding of data structures, algorithms, and scientific programming for the analysis of high-throughput biomedical data.', 'excellent software engineering skills with proficiency in unix/linux, python/r, java, c++', 'strong scientific understanding of molecular cellular biology, genetics and genomics.', 'experience with statistical analysis of high dimensional data, machine learning, high-performance computing and parallelization of workflows is highly advantageous.', 'demonstrate excellent teamwork, time management and organizational skills.', 'demonstrate outstanding personal initiative and be able to work independently in a multidisciplinary, fast-paced, dynamic and results-oriented environment.']"
7,"['digital marketing', 'advertising', 'digital media', 'media planning', 'online advertising', 'integrated marketing', 'digital strategy', 'marketing', 'social media', 'social media marketing', 'marketing strategy', 'media buying', 'mobile marketing', 'marketing communications', 'online marketing', 'new media', 'strategy', 'interactive marketing', 'sem', 'email marketing']",groupm asia pacific holdings pte. ltd.,[m]platform | head of biddable search apac,full time,middle management,advertising / media ,"$12,000","$18,000",monthly,"['we are\xa0looking for a\xa0head of biddable search apac\xa0to join\xa0groupm [m]platform. based in the regional singapore office, you will be responsible for leading the biddable search marketing service offering across our apac markets. this includes ensuring the consistent delivery of biddable search marketing services, implementing programmatic advertising solutions for our clients and delivering growth of new businesses. you will drive best practices in your function while ensuring integration and communication with the wider client leadership teams.', 'reporting of the role:\xa0\n \n the role will report vp services, groupm [m]platform, apac, and the vp, search global.', 'measures of success:', 'in three months:', 'in six months:', 'in 12 months:', 'responsibilities', 'requirements', 'more about [m]platform', '[m]platform is an advanced technology suite of flexible media planning applications, data analytics\xa0and\xa0digital services. the platform will improve advertisers’ ability to use audience defining insights from hundreds of data sources to find and communicate with their consumers across all media. [m]platform makes it possible for media planners at groupm agencies to use the most detailed consumer data to achieve results for their clients. it is supported by a team of data scientists, technologists and digital practitioners from across groupm specialist companies and xaxis. [m]platform unifies data analytics and digital services including search, social, mobile, digital ad operations and programmatic into one team delivering a completely open and fully transparent data and technology architecture.\xa0', 'for more information, visit\xa0https://www.groupm.com/tags/mplatform', 'about singapore', 'groupm singapore operates in one of the most dynamic and exciting environments in the world. although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. being at the crossroads of asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners.', 'as the largest media investment management company in singapore with over 41% market share (recma) and over 650 employees, groupm singapore is the\xa0premiere\xa0organisation\xa0to join and develop a career in.']","['build solid relationships with local market search teams getting to know the business, their clients and their professional goals, and built out a management plan for the remainder of the year.\xa0\xa0\xa0', 'developed a sound understanding of [m]platform’s global search product and services, as well as our broader proposition and service channels.\xa0', 'built relationships with all key stakeholders across the groupm agencies, as well as our media and technology partners.\xa0', 'reviewed the current search product roadmap, prepared an analysis of the current state of play and presented opportunities to develop our product and service offering, to deliver best in market solutions.\xa0', 'implemented operational changes to help improve the day-to-day efficiencies and deliverables from search teams, positioning the team for success.', 'undertaken a number of inter-agency initiatives that build relationships, share knowledge, develop advertiser accounts and improve operations.\xa0', 'actively managed and delivered against our growth targets.', 'built a competitive and market leading\xa0biddable\xa0proposition, which compliments the broader\xa0[m]platform\xa0proposition we extend to our clients.\xa0', 'invested in your team, offering development and learning opportunities.\xa0', 'collaborate with vp, search global on overall and evolution of the groupm [m]platform search service and delivery', 'develop the apac search strategy and work with local apac market search teams to deploy the [m]platform search offering components, and evolutions of the offering', 'conduct monthly apac market search calls with respective local market search leads. calls will be to communicate competency developments, market deployment updates, understand local market conditions and share general updates', 'assist and consult media agencies on integration of [m]platform search products and services in their operations and delivery to clients', 'build and maintain advantageous relationships with key media owners and platforms', 'contribute to strategy for search tech/platforms and services and product development in conjunction with global and local management', 'represent [m]platform through speaking engagements and publications in accordance with company and group policy (market positioning)', 'support major new business pitches', 'minimum of 8 years search marketing experience across both agency and/ or client environments', 'experience working in a heavily matrixed environment', 'excellent stakeholder management skills', 'strong leadership experience, managing teams and direct reports remotely', 'is a proven ‘game changer’. has encountered situations, seen things that others haven’t seen and then given clear direction going forward', 'excellent verbal and written skills, with ability to communicate effectively both within the network (groupm agencies) and to a range of client levels', 'commercially astute and forward thinking', 'has the ability to work independently and collaboratively as part of a [m]platform team']",['requirements'],"['minimum of 8 years search marketing experience across both agency and/ or client environments', 'experience working in a heavily matrixed environment', 'excellent stakeholder management skills', 'strong leadership experience, managing teams and direct reports remotely', 'is a proven ‘game changer’. has encountered situations, seen things that others haven’t seen and then given clear direction going forward', 'excellent verbal and written skills, with ability to communicate effectively both within the network (groupm agencies) and to a range of client levels', 'commercially astute and forward thinking', 'has the ability to work independently and collaboratively as part of a [m]platform team']"
8,"['business development', 'new business development', 'management', 'strategy', 'leadership', 'sales', 'business strategy', 'start-ups', 'marketing', 'marketing strategy', 'strategic planning', 'strategic partnerships', 'sales management', 'product management', 'account management', 'crm', 'entrepreneurship', 'project management', 'product development', 'negotiation']",kkt technology pte. ltd.,business development director,full time,"middle management, manager, senior executive","healthcare / pharmaceutical, general management","$5,200","$8,000",monthly,"['at holmusk, our mission is to help solve the world’s biggest healthcare challenge - chronic disease. come join a diverse and collaborative team of engineers, designers, data scientists, health professionals and business executives that is passionate about improving healthcare.', 'our key business lines are healthcare data analytics and digital therapeutics/health programmes. as a business development director you will be involved in all aspects of the decision making process around business development – client contact, acquisition, management etc. you also get a chance to present the meaningful insights generated in projects to the different levels of healthcare stakeholders and get a chance to make a change.', 'this role involves a significant amount of time spent in uk/europe, with more time spent at our london office.\xa0', 'responsibilities']","['serve as a key member of the business development team in leading the expansion of holmusk disease management platform & data analytics business in uk/europe', 'define, adapt and effectively communicate holmusk’s value proposition and key differentiating factors from the competitors in the specific market', ""set a strategic business development plan for uk/europe target markets and ensure it's in line with the overall holmusk strategic direction."", 'handle a high volume of engagements and the fast pace of our company']","['minimum', 'preferred']","['5 to 10 years of business development experience in uk/europe, specifically in the field of healthcare and life sciences', 'experience with establishing, maintaining and leveraging c-level relationships at partner companies', 'ability to fuse business, strategy, finance and legal concepts to lead complex, multi-faceted deals', 'deep experience working with pharmaceutical, insurance and hospital systems', 'strong verbal and written communications skills are a must, as well as leadership skills.', 'demonstrated ability to work effectively across internal and external organizations.', 'business level or higher communication skills in english as must.', 'mba or jd from top university highly desired', 'prior experience in contracting, sale process for advisory engagements', 'prior experience working in healthcare or technology companies is a plus']"
9,"['risk management', 'credit risk', 'financial risk', 'banking', 'data analysis', 'analysis', 'basel ii', 'market risk', 'derivatives', 'financial analysis', 'portfolio management', 'sas', 'analytics', 'management', 'business analysis', 'project management', 'statistical modeling', 'credit', 'data mining', 'financial modeling']",paypal pte. ltd.,senior risk analyst,full time,professional,banking and finance,"$6,000","$12,000",monthly,"['fueled by a fundamental belief that having access to financial services creates opportunity, paypal (nasdaq: pypl) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. our open digital payments platform gives paypal’s 254 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. through a combination of technological innovation and strategic partnerships, paypal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. available in more than 200 markets around the world, the paypal platform, including braintree, venmo and xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their paypal accounts in 25 currencies.', 'job description summary:', 'senior data analytics role in global seller risk management team', 'job description:', 'responsibilities']","['proven experience in credit risk analytics, along with in-depth market knowledge of credit performance, credit scoring and industry best practices', 'optimize existing risk parameters to improve accuracy on identifying risky population within paypal’s seller portfolio', 'research & develop new seller profiling and risk components to measure materiality and riskiness of sellers', 'drive and improve accuracy on criterion for selecting sellers that need a\xa0 underwriting review', 'conceptualize and implement a pipeline strategy to underwrite\xa0 sellers across the globe']",['qualifications'],"['master/bachelor’s degree in analytics, mathematics, statistics or related quantitative discipline', '5 to 7 years experience in data analytics. risk analytics a plus', 'proficient in sql, python, java and sas', 'excel, word, and powerpoint proficiency', 'be highly curious & thoughtful, a pro-active self-starter', 'good communication skillsets']"
