,title,intro,type,min_year_exp,max_year_exp,is_public,num_of_hires,is_remote,job_description,country_code,sal_mode,sal_min,sal_max,sal_currency_code,comp_name,comp_tagline,comp_verification,comp_is_hiring,comp_local_office,comp_description,country_name,country_demonym,country_currency,country_language
0,Data Engineer,,FULL_TIME,1,3,True,2,False,"About You:The ideal candidate for The Data Engineer will blissfully support our software developers, database architects, data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.On the daily basis, the ideal Data Engineer's Responsibilities would be the below:Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability,Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.Work with data and analytics experts to strive for greater functionality in our data systems.Requirements:Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.Strong analytic skills related to working with unstructured datasets.Build processes supporting data transformation, data structures, metadata, dependency and workload management.Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.Strong project management and organizational skills.Experience supporting and working with cross-functional teams in a dynamic environment.We are open for fresh graduates as well as experienced candidates for the Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or related fieldExperience with big data tools: Hadoop, Spark, Kafka, etc.Experience with relational SQL and NoSQL databases, for example Cassandra.Experience with stream-processing systems: Storm, Spark-Streaming, etc.Additional plus to a candidate of those who has experiences with object-oriented/object function scripting languages: Python, Java, C++, Scala, as well as experiences in Theoritical Machine",ID,MONTH,12000000.0,15000000.0,IDR,Volantis Technology,We build supercluster of billions data to answer humanity biggest problems. From predicting terrorist attack to finding the cure for cancer.,False,False,True,"It is a casually run company that emphasize strongly on building excellent human resources while continuously experiment on Big Data technological breakthrough.At Volantis Technology, we are adaptable, collaborative, driven, innovative and passionate.  What We Offer you:A constant stream of new things to learn. We're always expanding into new areas.A set of incredibly talented and dedicated peers, all the way from engineering and business team.Growth and mentorship. We believe in growing engineers through ownership and leadership opportunities. We also believe mentors help both sides of the equation. In fact, we have Founders and Co-Founders who are visible towards their knowledge and will share an infinity length to where all of the members that are working with Volantis, will be shaped into a youth full of rewarding and profitable knowledge!A stable, collaborative and supportive work environment. We work in an open environment, have a shared kitchen and sit down for a quick sync every morning. we're about maximize our office into a flexible working space with Playroom provided!We don't expect people to work 12 hour days. We want you to have a successful time outside of work too. Want to work from home sometimes? No problem. We trust our colleagues to be responsible with their time and dedication, and believe that balance helps cultivate a great environment.",Indonesia,Indonesian,['IDR'],['Indonesian']
1,Data Science Consultant,,FULL_TIME,1,3,True,2,False,"About you:You have a gift for taking unstructured and messy data, cleaning it, finding key trends and outliers, developing predictive models, and making those models understood by others. You enjoy immersing yourself in the data and want to become the go – to modeling expert.You thrive in a fast-paced environment where new challenges come up every day but you are organized so no balls are dropped. You are comfortable working on your own but you also enjoy collaborating with others. You are a good listener and able to translate the business questions and needs into just the right analysis and model.On the daily basis, the ideal candidate for a Data Science Consultant would be handling on the  Responsibilities as below:Integrate large volume of data from different sources including DB2 SQL Server, Web API and Teradata into a common analytics warehouse.Capture business expertise and needs through job shadowing experiences and interviews.Apply such knowledge as well as validation, aggregation and reconciliation techniques to create rich modeling-ready data framework.Design and execute design an execute solution based on machine learningEfficiently interpret results and communicate findings and potential value to manager and business partners.Play a lead role in integrating solutions within existing business processes using automation techniques.Consult and mentor on statistical work for analysts within the area.Understand theory and application of current  of theoritical machine learning and implementationPerform other related duties as assigned.Requirements:Bachelor’s degree in Mathematics, Statistics, Economics, Computer Science, or four or more years of work experience.Two or more years of relevant work experience.Knowledge of statistical modeling software (R, SAS, or Python).Time series and forecasting knowledge.You're so much cooler if you have:Master’s degree in Mathematics, Statistics, Economics, Computer Science, or equivalent work experiences.Knowledge on SQL databases.Knowledge on supervised and unsupervised machine learning, general linear models, text analytics, and design of experiments.Exposure to large data environments, such as Hadoop or Aster.Experience in finance.Demonstrated ability to effectively communicate complex ideas to both technical and non-technical colleagues.",ID,MONTH,5000000.0,12000000.0,IDR,Volantis Technology,We build supercluster of billions data to answer humanity biggest problems. From predicting terrorist attack to finding the cure for cancer.,False,False,True,"It is a casually run company that emphasize strongly on building excellent human resources while continuously experiment on Big Data technological breakthrough.At Volantis Technology, we are adaptable, collaborative, driven, innovative and passionate.  What We Offer you:A constant stream of new things to learn. We're always expanding into new areas.A set of incredibly talented and dedicated peers, all the way from engineering and business team.Growth and mentorship. We believe in growing engineers through ownership and leadership opportunities. We also believe mentors help both sides of the equation. In fact, we have Founders and Co-Founders who are visible towards their knowledge and will share an infinity length to where all of the members that are working with Volantis, will be shaped into a youth full of rewarding and profitable knowledge!A stable, collaborative and supportive work environment. We work in an open environment, have a shared kitchen and sit down for a quick sync every morning. we're about maximize our office into a flexible working space with Playroom provided!We don't expect people to work 12 hour days. We want you to have a successful time outside of work too. Want to work from home sometimes? No problem. We trust our colleagues to be responsible with their time and dedication, and believe that balance helps cultivate a great environment.",Indonesia,Indonesian,['IDR'],['Indonesian']
2,Data Scientist,,FULL_TIME,0,1,True,1,False,"JOB DESCRIPTIONPerform the full life -cycle of data analytics activities, including conceptualization, visualization and operationalizationPerform data capture by defining requirements or developing adaptors to pull data from various control systemsDesign rich Data Visualization Conduct statistical modelling and employ deep machine learning techniques to define and build modelsDevelop prediction systems and design effective data delivery mechanismsJOB REQUIREMENTSDegree in Engineering or Business Analytics, with specialization in Data Analytics / Machine LearningFamiliarity with Agile software development methodology and coding in various languages (Java, Python, #C)Proficiency in database management (Hadoop, NoSQL ,etc)Ability to derive actionable insights from large data sets",SG,,,,,KEPPEL DATA CENTRES,,False,False,True,,Singapore,Singaporean,['SGD'],"['Mandarin', 'English', 'Malay', 'Tamil']"
3,Data Engineer,,FULL_TIME,1,3,True,1,False,"Job Description:Assist to create fast, accurate, robust and scalable data-processing in our companyDevelop new features together with our team of data scientist and software developerBuild data computational pipelines and ETLsPreferred Qualifications:Enrolled in an undergraduate or graduate degree from top universities in a quantitative discipline preferredYou have prior experience with python, SQL, NoSQLLinux scripting is a plusFamiliar with REST-APIs using Python or similar technologies",ID,MONTH,12000000.0,31000000.0,IDR,Taralite,Financial Company,False,False,True,"Taralite is a startup providing financial technology services in the area of money loan for the unbankables. A study has shown that only 60 millions out of 250-million Indonesians have bank accounts and out of those 60 million, only some are eligible to apply for a loan from a financial institution. And that's why we're here.We give that majority of Indonesians access to affordable loans so they are able to live up to their potentials and enjoy memorable moments in life, such as education. With interest rate from 0.99% each month, we serve people all across Indonesia and revolutionize Indonesia's underdeveloped loan markets.",Indonesia,Indonesian,['IDR'],['Indonesian']
4,Data Scientist,,FULL_TIME,1,3,True,1,False,"Responsibilities:Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Requirements:Strong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques.Knowledge of advanced statistical techniques and concepts and experience with applications.Excellent written and verbal communication skills.Familiar with the following software/tools:C, C++, Java,JavaScriptGLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysisR, Python, SLQ, etc.Redshift, S3, Spark, DigitalOcean, etc.Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.Periscope, Business Objects, D3, ggplot, etc.",SG,MONTH,4000.0,6000.0,SGD,Qanvast Pte Ltd,Qanvast is a mobile app for home owners to create their ideal home with trust worthy Interior Designers.,False,False,True,"Qanvast is the leading platform for home remodeling and design ideas. Our platform connects homeowners and trusted home professionals in a visually stimulating environment.It is the easiest way for homeowners to get design inspiration, expert advice and profession reviews and quotes they need to turn a house into a home.We are now looking for new and talented people to join and strengthen our team.",Singapore,Singaporean,['SGD'],"['Mandarin', 'English', 'Malay', 'Tamil']"
5,Data Engineer,Kpler is looking for Data Engineer for helping its Singapore office growth.,FULL_TIME,0,50,True,2,False,"About the roleYou will participate in the evolution of our platform app.kpler.com (code, test, deployment, support) and derived applications with the aim of extracting (API, scraping), consolidating, (ETL), and applying algorithms (data-mining, business rules) on large data sets, and make them available (Postgres, ElasticSearch).For example, you will improve our vessel destination forecast algorithm.You will be tested on, and expected to work with the following stack :Python, Posgresql, SQLAlchemy, ElasticSearch, AWS...The technical team works in lean mode to continually improve our SaaS applications and API.RequirementsIT or Engineer recently graduated, you have already worked on projects around data processing (ETL, data streaming, data mining ...) in Python and ideally with a first experience in startupsKnowledge in Scala could be a plusCrafty, handy and pragmatic, you code on Linux / Mac and are both comfortable with CLI and graphical interfacesYou commit on Open source projects and you are present on GitHubThere is more than 12 different nationalities at Kpler, you must be able to interact with all team members in a functional EnglishIf you think you could be a good fit, don't hesitate to apply directly on our career page!Recruitment process30 min video call to discuss your experience and motivationsRemote technical testTest debrief on siteHalf day with the engineering team to assess the culture fit and help the candidate see our day to day",SG,YEAR,35000.0,45000.0,SGD,Kpler,"Kpler is an intelligence company providing transparency to energy markets, with an initial focus on LNG.",False,False,True,"Who are we ?Kpler is an intelligence company providing transparency solutions in energy markets. We develop proprietary technologies that systematically aggregate data from hundreds of sources, ranging from logistics and commercial, to governmental and shipping databases. By connecting the dots across fragmented information landscapes, we are able to deliver our clients with unique real-time market coverage.We rely on intelligent people to build intelligent software. Our team is composed of individuals of various backgrounds, with diversified skill sets and international experiences. Our clients are players across the energy market spectrum, with offices from Houston to Singapore.",Singapore,Singaporean,['SGD'],"['Mandarin', 'English', 'Malay', 'Tamil']"
6,Senior Data Scientist,,FULL_TIME,5,10,True,1,False,"Senior Data ScientistJob Description:You will work within a growing research and development team to improve existing and build brand new INTECH products. You will be applying different techniques such as deep learning, reinforcement learning, natural language processing and operational research to solve real world problems.Requirements:5+ years work experience in the field of software engineering or relevant experienceMasters or PhD degree in computer science, operations research, statistics, mathematics, or equivalent fields;Expertise in deep learning, reinforcement learning, explore & exploit algorithms, anomaly detection, control theory is preferred;Strong background and fluency or willingness to learn Go/C++ /JAVA/LUA/SCALA/PYTHON programmingKnowledge of SQL and NoSQL databasesUnderstanding of API design (REST)Good engineering and coding skills with the ability to write high performance quality codeGood understanding of common machine learning (Scikit-Learn) and deep learning frameworks (Pytorch, Tensorflow, Keras, etc.)Good understanding of common families of models, feature engineering, feature selection and other practical machine learning issuesExperience working on large scale software projectsWillingness to learn and grow professionally in a team environment",SG,MONTH,4.0,6500.0,SGD,Intech Apac Pte Ltd,Intelligent Automation thru Smart AI/ML,False,False,True,,Singapore,Singaporean,['SGD'],"['Mandarin', 'English', 'Malay', 'Tamil']"
7,Manufacturing Data Specialist,,FULL_TIME,1,3,True,2,False,"Why Arcstone?Arcstone is a fast-growing startup whose mission is to accelerate the digitization of the global supply chain, starting by bringing the manufacturing industry into Industry 4.0 and beyond.Our vision is to enable a world where products are made sustainably faster, better and cheaper with our software as the backbone to make this happen.Imagine scanning a product in a store and being able to trace the entire history of how it was made. What materials were used? Where did they come from? How much electricity and water did it consume? How did it impact the world?With this information at our fingertips, there will no longer be any excuse for irresponsibly made products that are bad for the earth. Consumers will be empowered to bring about the change they want to see in the world and secure a better future for generations to come.With your help, we can make this a reality.How will we achieve this?Arcstone is at the forefront of helping manufacturers gain better visibility and optimization of their production processes through digitization. Our flagship product, a cutting-edge manufacturing execution system (MES), enables manufacturers to respond faster and better to customer needs.By helping our clients reach their maximum potential through our software solutions, we are simultaneously building the critical foundation for the data-driven manufacturing ecosystem that will make our vision a reality.Where are we now?Arcstone has worked with numerous companies globally, from large MNCs to small MNEs and successfully transformed their production operations into the new age of digitalization. In addition, Arcstone has partnered the globally recognized Top 3 consulting firms, leading systems integrators, and industrial hardware and automation companies to continue to expand our presence and reach.Arcstone has recently completed a new round of venture capital funding with existing and new investors who believe in our vision, including Wavemaker Partners, Enterprise Singapore, 500 Startups, Global Brain, and Aletra Capital Partners. We are accelerating towards the next phase of our mission and are looking for talented individuals to join our dynamic, collaborative and passionate team.What will be your role?In order to provide the best possible solutions to our clients, Arcstone requires exceptional talent ever ready to assume key roles in meeting our client’s varied manufacturing needs. We are looking for talented problems solvers that can not only bring creative and practical solutions, but also ones that are always passionate to learn on the job.As a Manufacturing Data Specialist, you will be working with a dedicated team to ensure that our analytical tools best meet the needs of our customers. You will be directly responsible for designing, building and deploying Arcstone products to cater to specific manufacturing needs, and work closely with our customers to support the use of our products in their own facilities.You will play a key role as Arcstone’s bridge between product and customer, and will have the opportunity to ensure that the value of our toolsets is maximized to deliver the best outcomes for our customers. Because of your efforts, you will directly accelerate the adoption of our solutions by manufacturers all across the globe, and our vision of a world where products are made sustainably faster, better and cheaper.What will be your area of focus?Work directly with the customer to brainstorm, design, build and deploy analytics models, dashboards and reporting toolsWork with the development team to design new formulations and algorithms to better monitor and improve manufacturing operationsGuide, train and support customers' use of Arcstone's toolsets to maximize the value of all data collectedIdentifying and resolving any client-side issues with active engagement and communicationManage Manufacturing Deployment Analysts (MDAs) who are helping to roll out Arcstone's tools and validate incoming data from the production floorWhat are the requirements of the job?BA/BS from a globally recognized university. We are looking for folks who have succeeded academically and professionally at the highest levels.Experience working with large datasets and performing analysis, generating reports and KPI setup and maintenanceFamiliar with using SQL for data extraction, calculations and data retrieval for further analysisIdeally 1-3 years working experience in a manufacturing setting focused around data, process and/or manufacturing improvementsInterest in leveraging data for analysis, improvements and optimizationExcellent communication skills with the ability to tactfully influence, negotiate, and resolve conflictsComfort with ambiguity, uncertainty, and a dynamic business landscape; flexible with no 9 to 5 mentalitySelf-motivated and driven to excel and deliver, able to handle stress with a positive attitudeTeam player with a no ego and collaborative attitudeWillingness to travelCandidate must already be based in SingaporeThe Right Fit:We at Arcstone are extremely passionate about the product, the service we provide for our customers, and the transformation we are making in the manufacturing industry. We are looking for people who can bring that same level of passion and zeal for our mission.Our core belief is to hire the right person for the company, and that means looking for someone with truly amazing potential and can grow along with the rest of the company.Do carefully consider the requirements before submitting your application.We look forward to hearing from you!",SG,MONTH,3600.0,6000.0,SGD,Arcstone,Building real time data driven ecosystems,False,False,True,"Arcstone is a fast-growing startup whose mission is to accelerate the digitization of the global supply chain, starting by bringing the manufacturing industry into Industry 4.0 and beyond.Our vision is to enable a world where products are made sustainably faster, better and cheaper with our software as the backbone to make this happen.Arcstone has worked with numerous companies globally, from large MNCs to small MNEs and successfully transformed their production operations into the new age of digitalization. In addition, Arcstone has partnered the globally recognized Top 3 consulting firms, leading systems integrators, and industrial hardware and automation companies to continue to expand our presence and reach.Arcstone has recently completed a new round of venture capital funding with existing and new investors who believe in our vision, including Wavemaker Partners, Enterprise Singapore, 500 Startups, Global Brain, and Aletra Capital Partners. We are accelerating towards the next phase of our mission and are looking for talented individuals to join our dynamic, collaborative and passionate team.",Singapore,Singaporean,['SGD'],"['Mandarin', 'English', 'Malay', 'Tamil']"
8,2019 Market Data Analyst - Singapore,,FULL_TIME,0,50,True,10,False,"You're the type of person who has a passion for taking raw numbers and turning them into actionable insights. Your friends all know you as someone with a true interest in technology, who likes nothing more than spotting a creative way to improve a process. You have a natural eye for detail, and an interest in the financial markets. You are independent and determined, but thrive as part of a team. You enjoy dealing with people, and you're that person who knows what customer service really means.Our teamBloomberg runs on data, and our Global Data department is responsible for acquiring it and supplying it to our clients. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the data which ultimately moves the financial universe. They apply problem-solving skills to identify innovative workflow efficiencies, and they implement technology solutions to improve our systems, products and processes- and all this while providing platinum customer support to our customers.We'll trust you to:Acquire, update, maintain and process financial data using various internal systems and proprietary company softwareCome up with innovative ways to enhance our systems and to make our data-related processes more efficient, accurate and timelyParticipate in time-sensitive projects, and collaborate with your global colleagues to deliver new initiativesPartner closely with internal departments such as Sales, Analytics, News and EngineeringProvide a platinum level of service to Bloomberg customersWhat's in it for you?Comprehensive training giving you a thorough overview of financial concepts, various data sets, and of course our state-of-the-art Bloomberg terminalGain in-depth, hands-on experience of one particular market sector (For example: Company Financials)Opportunity to gain exposure to and interact with key market players in business and financeMake a true business impact on our products and clients – our data moves markets!Real potential for exciting and varied career progressionYou'll need to have:Bachelor's degree or equivalent work experienceExcellent numerical and communication skillsBusiness fluency in EnglishA positive attitude with good inter-personal skillsThe ability to multi-task, prioritise and work to tight deadlinesMeticulous attention to detail, with an aptitude for working quickly and accuratelyStrong project management, problem solving and analytical skillsProficiency in Microsoft Excel, with some advanced technical knowledge and experience (VBA, SQL, Python, MATLAB, R)Available to start in 2019We'd love you to have:Interest in, and knowledge or experience of financial statements and the financial marketsPrior experience of data research or process engineeringFluency in one or more Asian languagesIf this sounds like you:Apply! If we think you're a good match we'll get in touch to let you know the next steps.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",SG,,,,,Bloomberg Lp,It's our purpose. Come find yours,False,False,True,,Singapore,Singaporean,['SGD'],"['Mandarin', 'English', 'Malay', 'Tamil']"
9,Data Scientist,,FULL_TIME,1,3,True,1,False,"Job Descriptions :Manage and provide data for every user need by requestDevelop and maintenance dashboard/template/system for daily data for user needProvide data and analytics for marketing & business development(ex: report)Requirements :Minimum Bachelor degree in Mathematics, Statistics, Physics, Computer Science, Engineering or related fieldsAble to process data and numbersFluent in database and query (mysql, mongo, postgre)Have knowledge about R, Ruby, Python, and others is a plus.Having experience on BI visualization tools such as Pentaho, Tableau, Microstrategy, Power BI, etcExperienced in structured and unstructured data processing using R or Python on Jupyter NotebookExperienced using big data platforms, i.e: Hive, Spark, PrestoExperienced using open source machine learning framework, i.e:scikit-learn, Tensorflow, SparkMLlib, H2O or CaffeFamiliar with Git to collaborate on projectsHaving passion in data analysis, statistics, modeling, and machine learningAble to draw conclusions with inferential statistics and probabilityMinimum 1-year experience in the same field are preferred",ID,MONTH,1234.0,5678.0,IDR,Bareksa Portal Investasi / Bareksa.com,Market Place Reksa Dana Online Terintegrasi,False,False,True,"Bareksa.com adalah marketplace reksa dana online terintegrasi pertama di Indonesia, yang bernaung di bawah PT Bareksa Portal Investasi yang didirikan pada tanggal 17 Februari 2013. Portal ini, selain menyediakan platform untuk melakukan jual-beli reksa dana secara online, juga memberikan layanan data, informasi, dan alat investasi reksa dana, saham, obligasi, dan lainnya, untuk memudahkan masyarakat berinvestasi.Didirikan dan diawaki anak-anak muda yang berpengalaman di bidang pasar modal, teknologi informatika dan media digital, Bareksa.com memiliki visi dan misi untuk ikut menumbuh kembangkan dunia investasi di kalangan masyarakat Indonesia dengan memanfaatkan teknologi informatika dan Internet. Bareksa.com juga berambisi turut serta semakin meningkatkan eksposur dunia investasi nasional ke pasar global.",Indonesia,Indonesian,['IDR'],['Indonesian']
